TYPE_OF_ME,MASS_G,YEAR,DATABASE,COORDINATE,COORDINA_1
CV3,3500,1861,http://www.lpi.usra.edu/meteor/metbull.php?code=11206,43.66667,45.38333
H4,945,1861,http://www.lpi.usra.edu/meteor/metbull.php?code=5251,41.25,1.66667
H5,22,1861,http://www.lpi.usra.edu/meteor/metbull.php?code=15469,29.01667,77.8
Doubtful stone,0,1861,http://www.lpi.usra.edu/meteor/metbull.php?code=12041,41.65,-91.51667
H4,10500,1862,http://www.lpi.usra.edu/meteor/metbull.php?code=15485,53.18333,13.15
LL4,180,1862,http://www.lpi.usra.edu/meteor/metbull.php?code=23508,37.41667,-6
EL6,23250,1863,http://www.lpi.usra.edu/meteor/metbull.php?code=18822,58.66667,25.73333
L6,14500,1863,http://www.lpi.usra.edu/meteor/metbull.php?code=24038,50.78333,4.76667
L6,5000,1863,http://www.lpi.usra.edu/meteor/metbull.php?code=5178,46.45,25.78333
L6,3200,1863,http://www.lpi.usra.edu/meteor/metbull.php?code=23584,24.33333,90.16667
LL6,1700,1863,http://www.lpi.usra.edu/meteor/metbull.php?code=15402,23.05,86.7
H5,560,1863,http://www.lpi.usra.edu/meteor/metbull.php?code=18899,23.36667,75.18333
CI1,14000,1864,http://www.lpi.usra.edu/meteor/metbull.php?code=18026,43.88333,1.38333
L6,10250,1864,http://www.lpi.usra.edu/meteor/metbull.php?code=16945,56.5,21.5
L6,1600,1864,http://www.lpi.usra.edu/meteor/metbull.php?code=7659,50.75,25.3
Pseudometeorite,0,1864,http://www.lpi.usra.edu/meteor/metbull.php?code=12747,-23.41667,148.91667
L6,50000,1865,http://www.lpi.usra.edu/meteor/metbull.php?code=4899,36.16667,3.66667
H6,7235,1865,http://www.lpi.usra.edu/meteor/metbull.php?code=23760,26.71667,84.21667
Martian (shergottite),5000,1865,http://www.lpi.usra.edu/meteor/metbull.php?code=23530,24.55,84.83333
L5,4400,1865,http://www.lpi.usra.edu/meteor/metbull.php?code=16841,12.63333,77.01667
H5,2270,1865,http://www.lpi.usra.edu/meteor/metbull.php?code=7745,52.55,-8.03333
H6,1600,1865,http://www.lpi.usra.edu/meteor/metbull.php?code=10948,24.23333,89.05
H6,1500,1865,http://www.lpi.usra.edu/meteor/metbull.php?code=24168,43.5,-91.16667
Doubtful stone,1470,1865,http://www.lpi.usra.edu/meteor/metbull.php?code=5038,25.15,73.06667
L/LL5,500000,1866,http://www.lpi.usra.edu/meteor/metbull.php?code=12335,48.9,22.4
H5,34000,1866,http://www.lpi.usra.edu/meteor/metbull.php?code=5252,43.38333,-5.15
H5,17100,1866,http://www.lpi.usra.edu/meteor/metbull.php?code=23667,35.16667,135.33333
LL6,8300,1866,http://www.lpi.usra.edu/meteor/metbull.php?code=23092,48.45,3.93333
H5,3600,1866,http://www.lpi.usra.edu/meteor/metbull.php?code=24104,13.48333,74.78333
H5,350,1866,http://www.lpi.usra.edu/meteor/metbull.php?code=18858,26.71667,82.66667
H6,22,1866,http://www.lpi.usra.edu/meteor/metbull.php?code=12072,18.75,75.33333
L5,9000,1867,http://www.lpi.usra.edu/meteor/metbull.php?code=23778,36.18333,5.41667
H,6510,1867,http://www.lpi.usra.edu/meteor/metbull.php?code=18045,38.4,140.35
H6,100,1867,http://www.lpi.usra.edu/meteor/metbull.php?code=12296,28.01667,75.81667
H5,250000,1868,http://www.lpi.usra.edu/meteor/metbull.php?code=18901,52.76667,21.26667
Doubtful Iron,9300,1868,http://www.lpi.usra.edu/meteor/metbull.php?code=18071,40.5,-82
H4,9150,1868,http://www.lpi.usra.edu/meteor/metbull.php?code=16762,45.2,8.5
CO3.4,6000,1868,http://www.lpi.usra.edu/meteor/metbull.php?code=18030,47.11667,6.15
L6,4000,1868,http://www.lpi.usra.edu/meteor/metbull.php?code=23188,43.15,-0.85
L6,2000,1868,http://www.lpi.usra.edu/meteor/metbull.php?code=5514,34.4,-87.06667
H5,1708,1868,http://www.lpi.usra.edu/meteor/metbull.php?code=23626,45.68333,15.6
H6,1500,1868,http://www.lpi.usra.edu/meteor/metbull.php?code=16759,26.83333,77.33333
EL6,1064,1868,http://www.lpi.usra.edu/meteor/metbull.php?code=5513,-28.2,24.56667
Lodranite,1000,1868,http://www.lpi.usra.edu/meteor/metbull.php?code=14675,29.53333,71.8
Howardite,650,1868,http://www.lpi.usra.edu/meteor/metbull.php?code=10177,34.48333,-87.83333
L6,96,1868,http://www.lpi.usra.edu/meteor/metbull.php?code=18851,11.58333,104.91667
H6,80000,1869,http://www.lpi.usra.edu/meteor/metbull.php?code=12284,48.11667,-3.08333
H5,20000,1869,http://www.lpi.usra.edu/meteor/metbull.php?code=11878,59.85,17.66667
H6,20000,1869,http://www.lpi.usra.edu/meteor/metbull.php?code=24011,-7.08333,111.53333
LL5,16500,1869,http://www.lpi.usra.edu/meteor/metbull.php?code=12353,49.32694,7.46472
Angrite,1500,1869,http://www.lpi.usra.edu/meteor/metbull.php?code=2302,-22.96667,-44.31667
L6,340,1869,http://www.lpi.usra.edu/meteor/metbull.php?code=14753,32.03333,-84.76667
L/LL6,25000,1870,http://www.lpi.usra.edu/meteor/metbull.php?code=5185,37.98333,-1.16667
"Iron, ungrouped",4500,1870,http://www.lpi.usra.edu/meteor/metbull.php?code=16935,18.68333,83.48333
Diogenite,2000,1870,http://www.lpi.usra.edu/meteor/metbull.php?code=11992,52.28333,7.7
LL6,11500,1871,http://www.lpi.usra.edu/meteor/metbull.php?code=4935,-6.91667,107.6
H5,5400,1871,http://www.lpi.usra.edu/meteor/metbull.php?code=23472,44.36667,-69.2
H5,3833,1871,http://www.lpi.usra.edu/meteor/metbull.php?code=12408,44.28333,5.58333
Diogenite,400,1871,http://www.lpi.usra.edu/meteor/metbull.php?code=22641,42.3,0.55
CO3.5,51700,1872,http://www.lpi.usra.edu/meteor/metbull.php?code=12455,47.7,1.06667
L4,28500,1872,http://www.lpi.usra.edu/meteor/metbull.php?code=23898,58.03333,26.95
H6,3400,1872,http://www.lpi.usra.edu/meteor/metbull.php?code=18034,42.13333,12.93333
Ureilite,300,1872,http://www.lpi.usra.edu/meteor/metbull.php?code=7757,26.25,82
EL6,13600,1873,http://www.lpi.usra.edu/meteor/metbull.php?code=12288,29.53333,72.3
L5,5900,1873,http://www.lpi.usra.edu/meteor/metbull.php?code=12085,31.3,72.38333
L6,3600,1873,http://www.lpi.usra.edu/meteor/metbull.php?code=24185,43.53333,22.63333
L6,3200,1873,http://www.lpi.usra.edu/meteor/metbull.php?code=462,36.23333,37.13333
L4,400,1873,http://www.lpi.usra.edu/meteor/metbull.php?code=23161,-29.2,-51.86667
L5,101000,1874,http://www.lpi.usra.edu/meteor/metbull.php?code=23509,50.61667,36.6
H5,7300,1874,http://www.lpi.usra.edu/meteor/metbull.php?code=5291,36.08333,-78.06667
H5,5000,1874,http://www.lpi.usra.edu/meteor/metbull.php?code=12282,48.4,-3.3
L5,230000,1875,http://www.lpi.usra.edu/meteor/metbull.php?code=11901,41.8,-91.86667
H5,1600,1875,http://www.lpi.usra.edu/meteor/metbull.php?code=23616,20.91667,82.58333
H5,1300,1875,http://www.lpi.usra.edu/meteor/metbull.php?code=16747,44.6,5.13333
H4,380,1875,http://www.lpi.usra.edu/meteor/metbull.php?code=10080,36.88333,8.45
Eucrite-cm,20,1875,http://www.lpi.usra.edu/meteor/metbull.php?code=16892,26.98333,78.21667
H5,34000,1876,http://www.lpi.usra.edu/meteor/metbull.php?code=23712,59.93333,14.95
"Iron, IIIAB",3500,1876,http://www.lpi.usra.edu/meteor/metbull.php?code=22773,52.76667,-2.51667
LL6,1932,1876,http://www.lpi.usra.edu/meteor/metbull.php?code=24154,46.15,32.83333
H6,680,1876,http://www.lpi.usra.edu/meteor/metbull.php?code=12207,12.85,76.8
H6,340,1876,http://www.lpi.usra.edu/meteor/metbull.php?code=22637,41.08333,-86.28333
Doubtful stone,0,1876,http://www.lpi.usra.edu/meteor/metbull.php?code=12247,39.1,-94.63333
LL4,80000,1877,http://www.lpi.usra.edu/meteor/metbull.php?code=23661,43.66667,21.86667
L/LL4,6000,1877,http://www.lpi.usra.edu/meteor/metbull.php?code=5500,38.4,-84.25
H5,3650,1877,http://www.lpi.usra.edu/meteor/metbull.php?code=5474,-27.7,27.3
CO3.7,1600,1877,http://www.lpi.usra.edu/meteor/metbull.php?code=24215,38.68333,-91.15
H6,112,1877,http://www.lpi.usra.edu/meteor/metbull.php?code=11986,50.3,8.91667
Howardite,30,1877,http://www.lpi.usra.edu/meteor/metbull.php?code=12173,55.7,24.4
L6,18,1877,http://www.lpi.usra.edu/meteor/metbull.php?code=5037,20.88333,74.83333
Doubtful stone,0,1877,http://www.lpi.usra.edu/meteor/metbull.php?code=12042,-25.3,-57.26667
H/L3.6,28000,1878,http://www.lpi.usra.edu/meteor/metbull.php?code=23989,49.6,17.11667
L6,9000,1878,http://www.lpi.usra.edu/meteor/metbull.php?code=22376,52.98333,37.03333
L6,5650,1878,http://www.lpi.usra.edu/meteor/metbull.php?code=5511,26.91667,83.96667
L6,4000,1878,http://www.lpi.usra.edu/meteor/metbull.php?code=15489,55.05,12.06667
Eucrite-mmict,1000,1878,http://www.lpi.usra.edu/meteor/metbull.php?code=11824,26.8,82.53333
OC,399,1878,http://www.lpi.usra.edu/meteor/metbull.php?code=12394,20.66667,-101.28333
Mesosiderite-A3/4,320000,1879,http://www.lpi.usra.edu/meteor/metbull.php?code=10059,43.41667,-94.83333
L6,160000,1879,http://www.lpi.usra.edu/meteor/metbull.php?code=23897,-25.73333,142.95
L6,4500,1879,http://www.lpi.usra.edu/meteor/metbull.php?code=12236,17.83333,73.98333
CM2,4000,1879,http://www.lpi.usra.edu/meteor/metbull.php?code=16989,-32.36667,-59.83333
L6,2800,1879,http://www.lpi.usra.edu/meteor/metbull.php?code=12392,47.08333,1.75
H5,2024,1879,http://www.lpi.usra.edu/meteor/metbull.php?code=12056,-3.4,-44.33333
H5,1750,1879,http://www.lpi.usra.edu/meteor/metbull.php?code=10936,50.66667,16.76667
H6,900,1879,http://www.lpi.usra.edu/meteor/metbull.php?code=24020,20.16667,-105.21667
Mesosiderite-B2,54000,1880,http://www.lpi.usra.edu/meteor/metbull.php?code=24162,35.33333,51.63333
Stone-uncl,2700,1880,http://www.lpi.usra.edu/meteor/metbull.php?code=2294,26.58333,85.56667
L5,2200,1880,http://www.lpi.usra.edu/meteor/metbull.php?code=24323,-32.5,23
Stone-uncl,910,1880,http://www.lpi.usra.edu/meteor/metbull.php?code=22398,52.2,17.98333
H5,720,1880,http://www.lpi.usra.edu/meteor/metbull.php?code=23789,35.38333,134.9
Stone-uncl,72,1880,http://www.lpi.usra.edu/meteor/metbull.php?code=5344,14.5,76.5
L6,8000,1881,http://www.lpi.usra.edu/meteor/metbull.php?code=11208,46.35,30.58333
L6,3400,1881,http://www.lpi.usra.edu/meteor/metbull.php?code=18068,21.05,-99.3
L6,1600,1881,http://www.lpi.usra.edu/meteor/metbull.php?code=16632,54.56667,-1.16667
H,37,1881,http://www.lpi.usra.edu/meteor/metbull.php?code=18832,-32.86667,18.71667
L5-6,300000,1882,http://www.lpi.usra.edu/meteor/metbull.php?code=16709,46.8,24.03333
L5,11620,1882,http://www.lpi.usra.edu/meteor/metbull.php?code=10836,33.18333,130.2
Howardite,2000,1882,http://www.lpi.usra.edu/meteor/metbull.php?code=18177,52.03333,43
L6,842,1882,http://www.lpi.usra.edu/meteor/metbull.php?code=18834,25.8,88.45
L6,228000,1883,http://www.lpi.usra.edu/meteor/metbull.php?code=466,45.26667,10.15
LL3.6,1393,1883,http://www.lpi.usra.edu/meteor/metbull.php?code=16966,-7.45,111.41667
L6,360,1883,http://www.lpi.usra.edu/meteor/metbull.php?code=23081,44.75,0.05
H6,166000,1884,http://www.lpi.usra.edu/meteor/metbull.php?code=7652,-7.5,111.5
H4,19860,1884,http://www.lpi.usra.edu/meteor/metbull.php?code=24094,60,5.61667
H6,1161,1884,http://www.lpi.usra.edu/meteor/metbull.php?code=18835,29.58333,76
"Iron, IAB-sLL",4000,1885,http://www.lpi.usra.edu/meteor/metbull.php?code=15453,24.68333,-101.68333
L6,1100,1885,http://www.lpi.usra.edu/meteor/metbull.php?code=5321,27.28333,79.05
Pseudometeorite,0,1885,http://www.lpi.usra.edu/meteor/metbull.php?code=11178,45.18333,4.28333
"Iron, IIIAB",48500,1886,http://www.lpi.usra.edu/meteor/metbull.php?code=5186,35.5,-93.5
L6,45000,1886,http://www.lpi.usra.edu/meteor/metbull.php?code=12390,32.03333,130.63333
H5,4500,1886,http://www.lpi.usra.edu/meteor/metbull.php?code=16902,12.28333,79.2
H5,2000,1886,http://www.lpi.usra.edu/meteor/metbull.php?code=2353,43.03333,12.55
Ureilite,1900,1886,http://www.lpi.usra.edu/meteor/metbull.php?code=17933,54.81667,46
L,762,1886,http://www.lpi.usra.edu/meteor/metbull.php?code=5128,40.5,-80.08333
LL4,17,1886,http://www.lpi.usra.edu/meteor/metbull.php?code=4948,52,9.1
H4,500000,1887,http://www.lpi.usra.edu/meteor/metbull.php?code=17979,57.78333,55.26667
H4,1900,1887,http://www.lpi.usra.edu/meteor/metbull.php?code=5043,50.13333,27.16667
H4,500,1887,http://www.lpi.usra.edu/meteor/metbull.php?code=18809,11.25,108.58333
L6,372,1887,http://www.lpi.usra.edu/meteor/metbull.php?code=12451,24.45,78.56667
H6,340,1887,http://www.lpi.usra.edu/meteor/metbull.php?code=6621,43,-80
Doubtful OC,8,1887,http://www.lpi.usra.edu/meteor/metbull.php?code=18024,-29.66667,24.21667
LL6,34000,1889,http://www.lpi.usra.edu/meteor/metbull.php?code=12078,43.83333,20.44167
L5,20000,1889,http://www.lpi.usra.edu/meteor/metbull.php?code=10044,1.16667,44.16667
L6,11000,1889,http://www.lpi.usra.edu/meteor/metbull.php?code=14755,56.21667,13.03333
CM2,8000,1889,http://www.lpi.usra.edu/meteor/metbull.php?code=16634,48.06667,30.96667
OC,220,1889,http://www.lpi.usra.edu/meteor/metbull.php?code=10088,36.1,-81.41667
"Iron, IIIAB",600000,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=12087,30.80833,109.5
H5,152000,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=10119,43.25,-93.66667
L5,89400,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=10074,39.75,-97.03333
H5,5800,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=16703,56.66667,23
H5,5000,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=5403,42.53333,12.61667
H6,4000,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=23087,48.01667,-1.15
"Iron, IAB-sHL",1250,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=11852,28.95,0.81667
K3,350,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=12230,12.38333,78.51667
CM2,105,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=16927,21.25,83.66667
EH4,27000,1891,http://www.lpi.usra.edu/meteor/metbull.php?code=12027,39.75,46.66667
Stone-uncl,1915,1891,http://www.lpi.usra.edu/meteor/metbull.php?code=11440,43.76667,20.23333
H6,39000,1892,http://www.lpi.usra.edu/meteor/metbull.php?code=11439,38.73333,-6.01667
H4,21000,1892,http://www.lpi.usra.edu/meteor/metbull.php?code=4974,45.41667,-98.31667
L6,15000,1892,http://www.lpi.usra.edu/meteor/metbull.php?code=4936,27.7,76.33333
H5,167,1892,http://www.lpi.usra.edu/meteor/metbull.php?code=5476,35.63333,-78.13333
H5,14000,1893,http://www.lpi.usra.edu/meteor/metbull.php?code=4986,51.16667,-117.33333
L6,900,1893,http://www.lpi.usra.edu/meteor/metbull.php?code=18888,39.11667,-83.85
L6,100,1893,http://www.lpi.usra.edu/meteor/metbull.php?code=5039,20.83333,71.46667
L6,17600,1894,http://www.lpi.usra.edu/meteor/metbull.php?code=10107,47.81667,-96.85
L6,8600,1894,http://www.lpi.usra.edu/meteor/metbull.php?code=5111,21.95,78.03333
Doubtful meteorite,6000,1894,http://www.lpi.usra.edu/meteor/metbull.php?code=22784,52.88333,24.88333
LL4,2500,1894,http://www.lpi.usra.edu/meteor/metbull.php?code=23190,47.21667,29.86667
Doubtful Iron,720,1894,http://www.lpi.usra.edu/meteor/metbull.php?code=12742,46.51667,6.63333
L6,25,1894,http://www.lpi.usra.edu/meteor/metbull.php?code=14708,38,-0.83333
Doubtful stone,0,1894,http://www.lpi.usra.edu/meteor/metbull.php?code=18075,39,-9
H5,6400,1895,http://www.lpi.usra.edu/meteor/metbull.php?code=2290,27.66667,78.25
L5,6100,1895,http://www.lpi.usra.edu/meteor/metbull.php?code=16893,49.16667,19.5
Stone-uncl,1641,1895,http://www.lpi.usra.edu/meteor/metbull.php?code=22640,-23.38333,150.51667
LL3.15,1039,1895,http://www.lpi.usra.edu/meteor/metbull.php?code=5060,25.38333,82.6
L6,2000,1896,http://www.lpi.usra.edu/meteor/metbull.php?code=12772,50.36667,4.73333
LL6,840,1896,http://www.lpi.usra.edu/meteor/metbull.php?code=18046,38.6,-95.21667
L6,400,1896,http://www.lpi.usra.edu/meteor/metbull.php?code=15382,40.41667,-3.71667
L6,94.2,1896,http://www.lpi.usra.edu/meteor/metbull.php?code=4884,20.06667,-103.66667
H6,7000,1897,http://www.lpi.usra.edu/meteor/metbull.php?code=12456,43.75,5.11667
L6,6400,1897,http://www.lpi.usra.edu/meteor/metbull.php?code=10851,27.35,68.53333
L6,870,1897,http://www.lpi.usra.edu/meteor/metbull.php?code=16626,50.58333,11.1
H5,750,1897,http://www.lpi.usra.edu/meteor/metbull.php?code=11883,33.6,130.43333
H3-4,467,1897,http://www.lpi.usra.edu/meteor/metbull.php?code=16982,34.2,131.56667
H5,400,1897,http://www.lpi.usra.edu/meteor/metbull.php?code=12246,32.08333,76.3
L5,0.8,1897,http://www.lpi.usra.edu/meteor/metbull.php?code=6642,28.56667,77.25
"Iron, IAB-ung",10750,1898,http://www.lpi.usra.edu/meteor/metbull.php?code=22360,39,-0.66667
L6,3200,1898,http://www.lpi.usra.edu/meteor/metbull.php?code=2295,44.61667,-70.75
Iron,340,1898,http://www.lpi.usra.edu/meteor/metbull.php?code=15419,42.71667,-99.38333
H,100.7,1898,http://www.lpi.usra.edu/meteor/metbull.php?code=16707,61.73333,5.93333
Doubtful stone,0,1898,http://www.lpi.usra.edu/meteor/metbull.php?code=11990,17.36667,78.46667
L/LL4,330000,1899,http://www.lpi.usra.edu/meteor/metbull.php?code=5064,60.4,25.8
H5,32000,1899,http://www.lpi.usra.edu/meteor/metbull.php?code=2276,42.53333,-85.88333
"Iron, IAB-sHL",5000,1899,http://www.lpi.usra.edu/meteor/metbull.php?code=15386,37.86667,27.51667
H5,300,1899,http://www.lpi.usra.edu/meteor/metbull.php?code=22390,19.86667,-100.81667
H6,230,1899,http://www.lpi.usra.edu/meteor/metbull.php?code=7707,21.86667,82.45
Eucrite-mmict,165,1899,http://www.lpi.usra.edu/meteor/metbull.php?code=18792,-10.66667,35.5
"Iron, ungrouped",37500,1900,http://www.lpi.usra.edu/meteor/metbull.php?code=16968,13.85,-4.38333
H4,9251,1900,http://www.lpi.usra.edu/meteor/metbull.php?code=465,50.95,31.81667
L6,3750,1900,http://www.lpi.usra.edu/meteor/metbull.php?code=17990,47.88333,22.03333
CO3.3,3200,1900,http://www.lpi.usra.edu/meteor/metbull.php?code=10081,32.53333,-87.16667
L6,700,1900,http://www.lpi.usra.edu/meteor/metbull.php?code=12765,52.26667,32.85
H6,240,1900,http://www.lpi.usra.edu/meteor/metbull.php?code=10163,50.95,7.31667
Eucrite-mmict,127,1900,http://www.lpi.usra.edu/meteor/metbull.php?code=10033,-29.46667,151.61667
L6,121.5,1900,http://www.lpi.usra.edu/meteor/metbull.php?code=18055,-18,16
L6,57900,1901,http://www.lpi.usra.edu/meteor/metbull.php?code=18808,40,-99.25
EL6,14000,1901,http://www.lpi.usra.edu/meteor/metbull.php?code=11989,61.18333,22.68333
H5,8400,1901,http://www.lpi.usra.edu/meteor/metbull.php?code=23611,26.21667,69.55
L5,705,1901,http://www.lpi.usra.edu/meteor/metbull.php?code=5341,46.55,6.81667
Doubtful Iron,0,1901,http://www.lpi.usra.edu/meteor/metbull.php?code=2288,17.36667,78.46667
L6,86000,1902,http://www.lpi.usra.edu/meteor/metbull.php?code=4975,38.25,-83.75
"Pallasite, PMG",45000,1902,http://www.lpi.usra.edu/meteor/metbull.php?code=15426,61.5,30.5
H6,11300,1902,http://www.lpi.usra.edu/meteor/metbull.php?code=16766,-29.8,141.7
L5,4255,1902,http://www.lpi.usra.edu/meteor/metbull.php?code=5477,54.61667,-6.21667
L6,1293,1902,http://www.lpi.usra.edu/meteor/metbull.php?code=12241,14.18333,75.8
L6,780,1902,http://www.lpi.usra.edu/meteor/metbull.php?code=370,-33.16667,-64.95
Doubtful stone,46.5,1902,http://www.lpi.usra.edu/meteor/metbull.php?code=24353,30.33333,130.5
LL6,8,1902,http://www.lpi.usra.edu/meteor/metbull.php?code=5265,38.5,27
L6,48000,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=12065,-32.5,21.9
H5,40000,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=24096,-19.81667,-48.78333
EH5,13780,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=23090,-32.01667,27.41667
H5,3840,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=7658,23.5,90.33333
L6,1004,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=24145,44.86667,9.15
Iron,750,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=24095,57.16667,65.53333
L6,668,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=22597,35.03333,-83.03333
L5,28.9,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=15486,46.81867,7.21817
L5,18600,1904,http://www.lpi.usra.edu/meteor/metbull.php?code=23529,44.05,-80.16667
Doubtful Iron,7500,1904,http://www.lpi.usra.edu/meteor/metbull.php?code=18806,48.46667,9.21667
H5,5700,1904,http://www.lpi.usra.edu/meteor/metbull.php?code=11450,42.9,24.7
"Iron, IIAB",4742,1904,http://www.lpi.usra.edu/meteor/metbull.php?code=18000,35.08333,135.2
H5,23.2,1904,http://www.lpi.usra.edu/meteor/metbull.php?code=4947,52.73333,84.08333
L6,35000,1905,http://www.lpi.usra.edu/meteor/metbull.php?code=16711,38.5,-101.1
L6,22000,1905,http://www.lpi.usra.edu/meteor/metbull.php?code=12262,27.8,67.16667
Howardite,2500,1905,http://www.lpi.usra.edu/meteor/metbull.php?code=5041,22.08333,86.9
LL6,600,1905,http://www.lpi.usra.edu/meteor/metbull.php?code=24019,47.85,34.76667
OC,550,1905,http://www.lpi.usra.edu/meteor/metbull.php?code=16700,47.7,16.6
H6,3719,1906,http://www.lpi.usra.edu/meteor/metbull.php?code=12373,41.11667,45
LL4-6,2437,1906,http://www.lpi.usra.edu/meteor/metbull.php?code=24187,23.1,87.43333
L5,2381,1906,http://www.lpi.usra.edu/meteor/metbull.php?code=5068,36.83333,-97.33333
L6,1000,1906,http://www.lpi.usra.edu/meteor/metbull.php?code=7642,-33.75,18.56667
OC,845.2,1906,http://www.lpi.usra.edu/meteor/metbull.php?code=12363,56.8,77
Stone-uncl,331,1906,http://www.lpi.usra.edu/meteor/metbull.php?code=12305,36.85,138.38333
Eucrite-mmict,97.7,1906,http://www.lpi.usra.edu/meteor/metbull.php?code=12321,30.75,-95.95
LL3.4,8200,1907,http://www.lpi.usra.edu/meteor/metbull.php?code=5315,25.85,83.48333
CV3,1000,1907,http://www.lpi.usra.edu/meteor/metbull.php?code=4928,5.38333,16.38333
H5,877,1907,http://www.lpi.usra.edu/meteor/metbull.php?code=12760,34.58333,-87.5
L5,438,1907,http://www.lpi.usra.edu/meteor/metbull.php?code=7661,40,29
CV3,4500,1908,http://www.lpi.usra.edu/meteor/metbull.php?code=16713,-39.63333,174.4
L6,1900,1908,http://www.lpi.usra.edu/meteor/metbull.php?code=12227,49.86667,30.83333
H5,1630,1908,http://www.lpi.usra.edu/meteor/metbull.php?code=12245,-7,115.5
"Iron, IIAB",1230,1908,http://www.lpi.usra.edu/meteor/metbull.php?code=4906,46,13.5
OC,1001,1908,http://www.lpi.usra.edu/meteor/metbull.php?code=17935,56,22
H4,350,1908,http://www.lpi.usra.edu/meteor/metbull.php?code=23504,-19.46667,-44.21667
Unknown,13.4,1908,http://www.lpi.usra.edu/meteor/metbull.php?code=24082,60.9,101.95
L6,14290,1909,http://www.lpi.usra.edu/meteor/metbull.php?code=10914,35.53333,136.88333
L6,5100,1909,http://www.lpi.usra.edu/meteor/metbull.php?code=5071,31.83333,-98.83333
L6,17000,1910,http://www.lpi.usra.edu/meteor/metbull.php?code=23093,61.65,27.2
CV3,15000,1910,http://www.lpi.usra.edu/meteor/metbull.php?code=24174,44.85,11.4
L3.6,9700,1910,http://www.lpi.usra.edu/meteor/metbull.php?code=12298,25.1,81.53333
L5,8510,1910,http://www.lpi.usra.edu/meteor/metbull.php?code=16701,25.68333,83.25
L3.7-6,6100,1910,http://www.lpi.usra.edu/meteor/metbull.php?code=11870,27.33333,35.66667
L6,4500,1910,http://www.lpi.usra.edu/meteor/metbull.php?code=4949,31.61667,76.8
H4,1110.6,1910,http://www.lpi.usra.edu/meteor/metbull.php?code=11848,35.2945,136.70033
H5,690,1910,http://www.lpi.usra.edu/meteor/metbull.php?code=11429,52.86667,16.63333
H6,515,1910,http://www.lpi.usra.edu/meteor/metbull.php?code=18072,17.74333,120.45583
Eucrite-mmict,212.5,1910,http://www.lpi.usra.edu/meteor/metbull.php?code=12435,21.86667,76.03333
OC,0,1910,http://www.lpi.usra.edu/meteor/metbull.php?code=18073,32.31667,-89.71667
L6,16400,1911,http://www.lpi.usra.edu/meteor/metbull.php?code=6649,51.46667,84.76667
Martian (nakhlite),10000,1911,http://www.lpi.usra.edu/meteor/metbull.php?code=16898,31.31667,30.35
H5,772,1911,http://www.lpi.usra.edu/meteor/metbull.php?code=12308,43.58333,-89.6
Howardite,107.2,1911,http://www.lpi.usra.edu/meteor/metbull.php?code=10043,40.3,44.5
CI1,7.7,1911,http://www.lpi.usra.edu/meteor/metbull.php?code=24026,24.65,76.86667
L/LL6,220000,1912,http://www.lpi.usra.edu/meteor/metbull.php?code=11894,34.9,-110.18333
"Iron, IID",17200,1912,http://www.lpi.usra.edu/meteor/metbull.php?code=16983,-28.56667,30.7
H6,5000,1912,http://www.lpi.usra.edu/meteor/metbull.php?code=23583,33.71667,74.83333
L6,460,1912,http://www.lpi.usra.edu/meteor/metbull.php?code=12756,-25.66667,28.36667
Iron,4180,1913,http://www.lpi.usra.edu/meteor/metbull.php?code=23103,35.66667,136.3
Eucrite-cm,1880,1913,http://www.lpi.usra.edu/meteor/metbull.php?code=16736,35.41667,-79.38333
H5,448,1913,http://www.lpi.usra.edu/meteor/metbull.php?code=12240,36.04167,139.95667
L5,14,1913,http://www.lpi.usra.edu/meteor/metbull.php?code=4937,30.4,78.2
L6,45000,1914,http://www.lpi.usra.edu/meteor/metbull.php?code=12384,10.83333,76.03333
Iron,18000,1914,http://www.lpi.usra.edu/meteor/metbull.php?code=18077,43.48333,118.61667
LL6,15000,1914,http://www.lpi.usra.edu/meteor/metbull.php?code=2318,53.58333,-2.71667
EH5,14000,1914,http://www.lpi.usra.edu/meteor/metbull.php?code=23101,43.73333,1.38333
L5,13000,1914,http://www.lpi.usra.edu/meteor/metbull.php?code=22791,51.13333,34.5
L6,1550,1914,http://www.lpi.usra.edu/meteor/metbull.php?code=12325,48.16667,22.30833
LL5,1100,1914,http://www.lpi.usra.edu/meteor/metbull.php?code=17970,47.55,22.025
H5,24750,1915,http://www.lpi.usra.edu/meteor/metbull.php?code=15470,-6.23333,106.88333
