TYPE_OF_ME,MASS_G,YEAR,DATABASE,COORDINATE,COORDINA_1
Doubtful stone,0,1697,http://www.lpi.usra.edu/meteor/metbull.php?code=18790,43.2,11.16667
Doubtful stone,0,1698,http://www.lpi.usra.edu/meteor/metbull.php?code=24205,46.95,7.63333
Doubtful meteorite,0,1704,http://www.lpi.usra.edu/meteor/metbull.php?code=7719,58.4,26.6
OC,0,1704,http://www.lpi.usra.edu/meteor/metbull.php?code=4944,41.36667,2.16667
Doubtful meteorite,7700,1706,http://www.lpi.usra.edu/meteor/metbull.php?code=12732,39.63333,22.41667
L,7000,1715,http://www.lpi.usra.edu/meteor/metbull.php?code=23457,53.35,15.05
Doubtful meteorite,0,1722,http://www.lpi.usra.edu/meteor/metbull.php?code=12333,48.4,11.73333
L5,39,1723,http://www.lpi.usra.edu/meteor/metbull.php?code=18849,50.53333,14.11667
Doubtful meteorite,9000,1725,http://www.lpi.usra.edu/meteor/metbull.php?code=16706,52,-1.11667
Doubtful meteorite,0,1738,http://www.lpi.usra.edu/meteor/metbull.php?code=5280,44.05,5.05
Stone-uncl,24700,1740,http://www.lpi.usra.edu/meteor/metbull.php?code=22396,43.5,26.53333
H6,14360,1741,http://www.lpi.usra.edu/meteor/metbull.php?code=17994,33.28333,130.2
Stone-uncl,0,1750,http://www.lpi.usra.edu/meteor/metbull.php?code=16970,49.03333,-1.43333
"Iron, IID",49000,1751,http://www.lpi.usra.edu/meteor/metbull.php?code=11916,46.1,16.33333
H3-5,14000,1753,http://www.lpi.usra.edu/meteor/metbull.php?code=14757,46.21667,5
H5,7540,1753,http://www.lpi.usra.edu/meteor/metbull.php?code=23776,49.4,14.65
Doubtful meteorite,3500,1755,http://www.lpi.usra.edu/meteor/metbull.php?code=23904,39.33333,16.33333
Pseudometeorite,14,1760,http://www.lpi.usra.edu/meteor/metbull.php?code=5138,45.75,9.25
L/LL4,2000,1766,http://www.lpi.usra.edu/meteor/metbull.php?code=453,44.65,11.01667
L6,19000,1768,http://www.lpi.usra.edu/meteor/metbull.php?code=15446,48.18333,13.13333
L6,3500,1768,http://www.lpi.usra.edu/meteor/metbull.php?code=14724,47.85,0.48333
Unknown,0,1769,http://www.lpi.usra.edu/meteor/metbull.php?code=425,50.66667,2.33333
H4,4000,1773,http://www.lpi.usra.edu/meteor/metbull.php?code=23495,41.71667,-0.05
Stone-uncl,2900,1775,http://www.lpi.usra.edu/meteor/metbull.php?code=22642,50.35,10.8
OC,0,1775,http://www.lpi.usra.edu/meteor/metbull.php?code=18062,51.33333,28.83333
Doubtful stone,0,1776,http://www.lpi.usra.edu/meteor/metbull.php?code=10067,43.31667,12.93333
Stone-uncl,0,1779,http://www.lpi.usra.edu/meteor/metbull.php?code=18804,53.53333,-7.33333
Doubtful meteorite,0,1780,http://www.lpi.usra.edu/meteor/metbull.php?code=4997,52.93333,-1.21667
Doubtful meteorite,8000,1782,http://www.lpi.usra.edu/meteor/metbull.php?code=24083,45.06667,7.68333
H5,3000,1785,http://www.lpi.usra.edu/meteor/metbull.php?code=7775,48.9,11.21667
L6,1500,1787,http://www.lpi.usra.edu/meteor/metbull.php?code=12291,50.625,35.075
H5,6400,1790,http://www.lpi.usra.edu/meteor/metbull.php?code=4942,43.95,-0.05
Stone-uncl,0,1791,http://www.lpi.usra.edu/meteor/metbull.php?code=5292,43.35,11.5
LL5,3700,1794,http://www.lpi.usra.edu/meteor/metbull.php?code=23586,43.11667,11.6
L6,25000,1795,http://www.lpi.usra.edu/meteor/metbull.php?code=24325,54.13667,-0.41333
L,25.5,1795,http://www.lpi.usra.edu/meteor/metbull.php?code=16851,9.33333,80.83333
Stone-uncl,4500,1796,http://www.lpi.usra.edu/meteor/metbull.php?code=18876,38.5,-8
H6,1850,1796,http://www.lpi.usra.edu/meteor/metbull.php?code=5063,49.78333,30.16667
L5,9000,1798,http://www.lpi.usra.edu/meteor/metbull.php?code=23111,46.05,4.63333
LL4,3700,1798,http://www.lpi.usra.edu/meteor/metbull.php?code=5011,25.36667,82.91667
L6,220,1801,http://www.lpi.usra.edu/meteor/metbull.php?code=15447,-20,57
Doubtful meteorite,0,1802,http://www.lpi.usra.edu/meteor/metbull.php?code=14671,56.53333,-4.16667
L6,37000,1803,http://www.lpi.usra.edu/meteor/metbull.php?code=12434,48.76667,0.63333
L6,3200,1803,http://www.lpi.usra.edu/meteor/metbull.php?code=2320,43.86667,5.38333
Howardite,1600,1803,http://www.lpi.usra.edu/meteor/metbull.php?code=15443,48.13333,12.61667
Doubtful meteorite,0,1803,http://www.lpi.usra.edu/meteor/metbull.php?code=7763,52.55,-0.83333
L6,4500,1804,http://www.lpi.usra.edu/meteor/metbull.php?code=11884,55.9,-4.23333
H5,100,1804,http://www.lpi.usra.edu/meteor/metbull.php?code=6603,49.86667,8.65
L6,56,1804,http://www.lpi.usra.edu/meteor/metbull.php?code=5093,23,-102
H5-7,3891,1805,http://www.lpi.usra.edu/meteor/metbull.php?code=7718,51.2,112.3
H6,41,1805,http://www.lpi.usra.edu/meteor/metbull.php?code=2345,42.45,9.03333
Doubtful eucrite,0,1805,http://www.lpi.usra.edu/meteor/metbull.php?code=5419,41.05,28.91667
CI1,6000,1806,http://www.lpi.usra.edu/meteor/metbull.php?code=448,44.11667,4.08333
Doubtful meteorite,1100,1806,http://www.lpi.usra.edu/meteor/metbull.php?code=10929,51.13333,-2.71667
Doubtful meteorite,1100,1806,http://www.lpi.usra.edu/meteor/metbull.php?code=4956,51.26667,-1.08333
H4,150000,1807,http://www.lpi.usra.edu/meteor/metbull.php?code=24249,41.266667,-73.266667
H5,65500,1807,http://www.lpi.usra.edu/meteor/metbull.php?code=24004,54.5,35.2
Eucrite-mmict,52000,1808,http://www.lpi.usra.edu/meteor/metbull.php?code=23713,49.28333,15.56667
L6,12800,1808,http://www.lpi.usra.edu/meteor/metbull.php?code=14661,50.2,14.85
LL6,1676,1808,http://www.lpi.usra.edu/meteor/metbull.php?code=5110,44.86667,10.05
L6,70,1808,http://www.lpi.usra.edu/meteor/metbull.php?code=16740,28.78333,78.83333
Doubtful meteorite,0,1808,http://www.lpi.usra.edu/meteor/metbull.php?code=7716,51.8,4.65
H6,195,1809,http://www.lpi.usra.edu/meteor/metbull.php?code=12306,55,34
H6,27000,1810,http://www.lpi.usra.edu/meteor/metbull.php?code=5329,47.93333,1.56667
H5,3520,1810,http://www.lpi.usra.edu/meteor/metbull.php?code=16737,52.45,-8.33333
OC,1360,1810,http://www.lpi.usra.edu/meteor/metbull.php?code=5296,36.5,-79.25
L6,6000,1811,http://www.lpi.usra.edu/meteor/metbull.php?code=12370,50.75,33.5
L6,1440,1811,http://www.lpi.usra.edu/meteor/metbull.php?code=5029,41.68333,-3.8
Stone-uncl,100,1811,http://www.lpi.usra.edu/meteor/metbull.php?code=18902,13.33333,78.95
L6,31500,1812,http://www.lpi.usra.edu/meteor/metbull.php?code=5325,46.68333,1.05
H6,2250,1812,http://www.lpi.usra.edu/meteor/metbull.php?code=10049,52.21667,11.25
H6,1030,1812,http://www.lpi.usra.edu/meteor/metbull.php?code=24036,43.6,1.4
H5,500,1812,http://www.lpi.usra.edu/meteor/metbull.php?code=5114,55.46667,35.86667
H5,50000,1813,http://www.lpi.usra.edu/meteor/metbull.php?code=14652,52.56667,-8.78333
Howardite,885,1813,http://www.lpi.usra.edu/meteor/metbull.php?code=14756,61.2,27.7
Doubtful meteorite,0,1813,http://www.lpi.usra.edu/meteor/metbull.php?code=18898,54.25,-4.5
Doubtful meteorite,0,1813,http://www.lpi.usra.edu/meteor/metbull.php?code=15398,53.01667,-2.85
H5,30000,1814,http://www.lpi.usra.edu/meteor/metbull.php?code=392,44.21667,0.61667
L6,18000,1814,http://www.lpi.usra.edu/meteor/metbull.php?code=4917,48.6,38
L6,28,1814,http://www.lpi.usra.edu/meteor/metbull.php?code=11464,13.78333,78.56667
H6,0.5,1814,http://www.lpi.usra.edu/meteor/metbull.php?code=5314,25.36667,81.66667
